real,user,system,
177.415,176.859,0.328, 
184.116,183.531,0.406, 
177.429,176.984,0.297, 
104.316,207.141,0.281, 
106.185,210.953,0.406, 
116.963,232.141,0.359, 
101.568,300.625,0.578, 
103.077,297.547,0.688, 
101.572,299.922,0.625, 
102.382,400.875,0.656, 
102.25,401.656,0.828, 
102.116,401.391,0.734, 
103.087,404.984,0.922, 
103.088,404.953,0.781, 
103.643,406.219,0.984, 
104.537,408.75,0.938, 
108.343,407.859,1.078, 
104.953,409.344,1.203, 
109.325,411.828,1.234, 
105.505,412.188,1.297, 
107.347,411.906,1.125, 
106.587,415.141,1.313, 
106.46,415.5,1.031, 
107.306,419.328,1.109, 
108.818,424.719,1.359, 
110.55,422.656,1.578, 
111.392,426.016,1.531, 
111.842,429.859,1.688, 
112.265,430.641,1.547, 
110.151,429.5,1.438, 
