real,2m57.777s
user,2m57.344s
sys,0m0.344s
real,3m19.803s
user,3m19.406s
sys,0m0.266s
real,2m56.478s
user,2m56.047s
sys,0m0.313s
real,1m44.225s
user,3m27.172s
sys,0m0.313s
real,1m44.669s
user,3m27.922s
sys,0m0.313s
real,1m45.335s
user,3m29.578s
sys,0m0.297s
real,1m41.624s
user,4m58.953s
sys,0m0.281s
real,1m48.109s
user,5m18.313s
sys,0m0.422s
real,1m41.675s
user,4m59.016s
sys,0m0.344s
real,1m47.522s
user,6m42.281s
sys,0m0.406s
real,1m45.948s
user,6m42.313s
sys,0m0.344s
real,1m41.981s
user,6m43.844s
sys,0m0.422s
real,1m42.836s
user,6m46.750s
sys,0m0.344s
real,1m43.039s
user,6m47.047s
sys,0m0.313s
real,1m44.524s
user,6m47.719s
sys,0m0.281s
real,1m44.118s
user,6m51.453s
sys,0m0.313s
real,1m43.885s
user,6m51.063s
sys,0m0.297s
real,1m44.007s
user,6m51.156s
sys,0m0.328s
real,1m45.265s
user,6m55.641s
sys,0m0.297s
real,1m49.745s
user,6m53.141s
sys,0m0.422s
real,1m49.054s
user,6m54.078s
sys,0m0.422s
real,1m45.921s
user,6m59.078s
sys,0m0.344s
real,1m46.135s
user,7m0.094s
sys,0m0.359s
real,1m45.975s
user,6m59.438s
sys,0m0.328s
real,1m47.945s
user,7m7.250s
sys,0m0.281s
real,1m48.249s
user,7m7.031s
sys,0m0.344s
real,1m48.174s
user,7m7.109s
sys,0m0.250s
real,1m50.622s
user,7m17.250s
sys,0m0.344s
real,1m50.639s
user,7m17.109s
sys,0m0.422s
real,1m52.746s
user,7m16.266s
sys,0m0.359s
